,Unnamed: 0,x,y,elevation,ssssHCP1.6f450h0.15,HCP1.6f1530h0.15,HCP1.6f5310h0.15,HCP1.6f18330h0.15,HCP1.6f63030h0.15
26416,26416,344133.95,4482815.57,2107.18,283.2067807,81.22664334,41.36745007,30.01322228,24.11260915
26421,26421,344133.93,4482815.59,2107.17,262.0982007,88.21109993,43.97620818,30.22914474,23.92422939
26426,26426,344133.91,4482815.61,2107.17,348.2915688,91.18596108,45.4669271,31.30875705,24.23819565
26431,26431,344133.91,4482815.64,2107.16,323.6648922,89.50451782,48.44836494,30.4450672,24.74054168
26436,26436,344133.9,4482815.65,2107.16,352.6891896,86.91768205,42.11280953,30.22914474,24.92892144
26441,26441,344133.87,4482815.64,2107.17,280.5682082,88.72846709,47.33032575,30.55302843,24.7719383
26446,26446,344133.83,4482815.62,2107.19,274.8513011,98.9464684,43.60352845,30.76895089,24.96031806
26451,26451,344133.78,4482815.61,2107.21,404.1413532,87.69373278,43.23084872,31.20079582,25.65104385
26456,26456,344133.71,4482815.65,2107.22,255.9415316,90.53925213,46.95764602,31.52467951,25.46266409
26461,26461,344133.58,4482815.78,2107.2,271.7729665,98.9464684,47.33032575,30.98487336,25.87082023
26466,26466,344133.43,4482815.93,2107.19,341.6951375,91.96201181,47.70300548,32.1724469,26.7813224
26471,26471,344133.2,4482816.12,2107.15,351.3699033,89.37517603,43.97620818,32.92817552,26.84411565
26476,26476,344132.96,4482816.33,2107.1,363.6832416,103.9907982,45.09424737,32.28040813,25.58825059
26481,26481,344132.7,4482816.6,2107.04,306.0744089,91.05661929,45.4669271,30.01322228,24.6463518
26486,26486,344132.46,4482816.84,2107,439.7620818,90.02188498,45.4669271,29.68933858,24.45797204
26491,26491,344132.23,4482817.03,2107,325.4239405,87.56439099,46.95764602,29.90526104,24.14400578
26496,26496,344132,4482817.22,2106.99,394.4665874,78.2517822,46.95764602,29.58137735,24.36378216
26501,26501,344131.73,4482817.42,2106.95,363.2434796,89.89254319,49.56640413,30.98487336,24.30098891
26506,26506,344131.47,4482817.61,2106.92,315.3094126,94.67818937,50.31176359,31.95652444,25.33707758
26511,26511,344131.25,4482817.78,2106.89,342.5746617,90.79793571,51.05712305,33.79186537,26.81271903
26516,26516,344131.03,4482817.95,2106.87,470.5454275,104.12014,54.78392036,34.22371029,28.09998071
26521,26521,344130.77,4482818.14,2106.84,249.3451004,98.9464684,55.90195955,34.87147768,28.50813686
26526,26526,344130.51,4482818.33,2106.82,271.3332045,106.4482921,54.41124063,37.24662477,29.04187951
26531,26531,344130.21,4482818.56,2106.78,269.134394,109.8111787,58.51071766,37.354586,30.64310746
26536,26536,344129.91,4482818.78,2106.76,523.3168773,106.1896086,62.23751496,39.40584939,32.02455903
26541,26541,344129.58,4482819.01,2106.76,427.0089814,112.656698,60.74679604,42.42876386,34.22232288
26546,26546,344129.24,4482819.24,2106.75,429.6475539,120.2878635,67.82771092,43.29245371,35.47818794
26551,26551,344128.89,4482819.51,2106.71,470.5454275,109.1644697,65.96431227,43.40041494,35.16422168
26556,26556,344128.54,4482819.77,2106.68,339.4963271,117.571686,58.51071766,41.13322909,33.59439035
26561,26561,344128.21,4482820.02,2106.67,356.6470483,83.29611196,50.68444332,34.97943891,29.57562216
26566,26566,344127.88,4482820.26,2106.65,372.9182454,88.21109993,40.24941087,31.95652444,26.56154602
26571,26571,344127.54,4482820.49,2106.63,351.8096654,69.19785699,36.67168546,30.98487336,26.24757975
26576,26576,344127.21,4482820.72,2106.61,418.2137398,80.5799344,33.24303194,31.52467951,27.09528867
26581,26581,344126.92,4482820.97,2106.61,298.1586914,81.48532692,38.38601222,33.68390414,30.48612433
26586,26586,344126.62,4482821.23,2106.6,334.6589442,92.99674612,44.72156764,37.46254723,33.28042409
26591,26591,344126.3,4482821.51,2106.58,452.9549442,106.0602668,55.90195955,44.26410479,38.61785059
26596,26596,344125.99,4482821.77,2106.57,390.5087286,120.2878635,71.18182849,50.74177867,44.89717589
26601,26601,344125.66,4482821.98,2106.6,338.616803,121.9693068,81.98954067,54.41246053,49.2927036
26606,26606,344125.34,4482822.23,2106.6,359.2856208,137.1022961,80.49882175,56.46372392,50.54856866
26611,26611,344125.02,4482822.54,2106.55,356.6470483,121.839965,84.59829878,57.86721993,52.11839998
26616,26616,344124.71,4482822.83,2106.52,397.984684,147.4496392,85.34365824,57.65129746,53.37426504
26621,26621,344124.44,4482823.05,2106.52,405.4606394,146.1562213,82.73490013,57.435375,53.68823131
26626,26626,344124.18,4482823.26,2106.51,343.4541859,128.4363962,79.38078256,56.67964638,53.37426504
26631,26631,344123.92,4482823.46,2106.52,339.4963271,126.6256112,76.39934472,53.87265437,51.17650119
26636,26636,344123.66,4482823.66,2106.51,368.5206245,134.5154603,74.16326633,52.2532359,47.72287227
26641,26641,344123.38,4482823.91,2106.51,287.1646394,124.1681172,69.31842984,45.6676008,39.87371565
26646,26646,344123.1,4482824.17,2106.49,389.1894424,100.3692281,55.52927982,36.59885738,29.9837783
26651,26651,344122.79,4482824.44,2106.44,251.1041487,101.662646,49.1937244,32.06448567,23.83003951
26656,26656,344122.51,4482824.68,2106.41,483.73829,140.9825497,54.41124063,31.30875705,21.47529252
26661,26661,344122.27,4482824.85,2106.42,379.5146766,87.69373278,46.58496629,33.79186537,25.33707758
26666,26666,344122.05,4482825.01,2106.42,394.4665874,93.90213864,50.31176359,37.67846969,28.4453436
26671,26671,344121.88,4482825.15,2106.41,365.44229,104.6375071,54.0385609,39.40584939,30.95707372
26676,26676,344121.67,4482825.3,2106.41,301.237026,102.8267221,54.0385609,40.16157801,32.65249156
26681,26681,344121.34,4482825.47,2106.39,257.2608178,88.08175814,52.54784198,40.26953924,33.90835662
26686,26686,344121.03,4482825.65,2106.37,409.4184981,88.46978351,53.66588117,42.96857002,36.42008673
26691,26691,344120.74,4482825.82,2106.38,312.6708401,98.04107588,57.7653582,45.23575588,38.61785059
26696,26696,344120.45,4482826,2106.38,448.5573234,94.54884758,56.64731901,47.93478666,40.81561444
26701,26701,344120.14,4482826.19,2106.37,334.6589442,109.5524951,57.7653582,49.77012759,41.44354697
26706,26706,344119.84,4482826.38,2106.36,372.0387212,89.89254319,56.64731901,48.25867035,41.12958071
26711,26711,344119.59,4482826.58,2106.35,226.4774721,103.473431,61.86483523,49.01439897,40.18768191
26716,26716,344119.36,4482826.77,2106.37,321.0263197,101.7919878,55.15660009,46.31536819,39.24578312
26721,26721,344119.17,4482826.9,2106.43,312.6708401,105.6722414,57.7653582,45.34371711,37.98991806
26726,26726,344118.99,4482827.02,2106.5,324.9841784,88.46978351,55.52927982,43.9402211,37.04801926
26731,26731,344118.81,4482827.11,2106.63,312.2310781,85.75360595,51.42980278,43.07653125,35.47818794
26736,26736,344118.61,4482827.19,2106.72,342.1348996,91.96201181,49.93908386,41.13322909,32.65249156
26741,26741,344118.37,4482827.23,2106.73,264.7367732,85.88294774,46.95764602,38.32623708,31.71059276
26746,26746,344118.14,4482827.29,2106.74,427.0089814,91.70332823,45.83960683,35.95108999,28.88489638
26751,26751,344117.98,4482827.42,2106.76,267.3753457,90.66859392,41.7401298,34.65555522,27.2522718
26756,26756,344117.83,4482827.55,2106.76,328.9420372,80.06256724,41.7401298,33.79186537,26.34176963
26761,26761,344117.68,4482827.68,2106.75,253.3029591,78.76914935,40.62209061,32.92817552,25.61964722
